State Name,Dist Name,Year,max_N_budjet_kg_ha,min_N_budjet_kg_ha,median_N_budjet_kg_ha,mean_N_budjet_kg_ha,percentile_95_N_budjet_kg_ha,percentile_5_N_budjet_kg_ha,percentile_75_N_budjet_kg_ha,percentile_25_N_budjet_kg_ha
Uttar Pradesh,Sultanpur,1997,131.94760579565485,102.68477628325017,116.47942074677879,115.28000338311445,130.86551309138304,103.51613372247039,118.63730602356296,105.7858867990447
Uttar Pradesh,Sultanpur,1998,140.83036758859657,107.51775202554879,123.35687583374771,122.14763958376187,140.06494706171335,108.283172552432,126.18303654987473,111.6409296710557
Uttar Pradesh,Sultanpur,1999,141.98451951023236,106.65645474165262,124.12856467815321,122.26756154984639,141.01572198174287,107.62525227014211,126.65780971114836,111.08265984690388
Uttar Pradesh,Sultanpur,2000,122.22004214789293,99.78106230441136,104.86923844664105,108.9567809663151,121.33120019330329,100.669904259001,118.9678297503076,102.73614640733395
Uttar Pradesh,Sultanpur,2001,133.97246289226138,112.1991657974294,117.03664990064479,121.06942619677852,133.24826729789666,112.92336139179413,131.309377779386,114.8622509103048
Uttar Pradesh,Sultanpur,2002,131.14588551003948,95.37501872506144,111.69881154086548,111.282072270482,130.06858189938038,96.45232233572054,116.53155189083907,101.24235441522116
Uttar Pradesh,Sultanpur,2003,138.56464345981323,105.52894866878526,120.59773407652037,120.06965024765627,137.3745001406219,106.71909198797657,124.62891248656307,110.49992871773543
Uttar Pradesh,Sultanpur,2004,144.1902872471485,112.90437579042593,127.26463218030105,126.7111929794458,142.9941876766808,114.10047536089361,130.8935027626399,117.74972771585831
Uttar Pradesh,Sultanpur,2005,142.8704631893788,110.52608637570822,126.21339013580767,124.83666729709824,141.8326727711314,111.56387679395563,128.91393906265566,114.97057666528315
Uttar Pradesh,Sultanpur,2006,149.12095827695393,125.30788789200652,132.39050971413286,135.3479286039577,147.89218596702975,126.53666020193072,142.95127556781065,129.41418696109764
Uttar Pradesh,Sultanpur,2007,169.69982518121347,144.0254985272871,153.02220139479124,154.84795550598025,168.76321995941143,144.96210374908915,161.52336813552057,147.79463840227788
Uttar Pradesh,Sultanpur,2008,183.14907005869867,152.54062579545095,163.36029709937563,165.91992084976346,181.94123183118444,153.74846402296518,174.16077329302087,158.9484617526589
Uttar Pradesh,Sultanpur,2009,181.9112648416304,152.60257949978677,162.50783278471016,165.32036454550095,181.06824900753952,153.44559533387766,173.96205863277197,158.43061872939606
Uttar Pradesh,Sultanpur,2010,157.61511231667907,125.49717692099858,138.0753341581508,139.64007593626903,156.22518820862626,126.8871010290514,146.6651042914324,131.91239377220248
Uttar Pradesh,Sultanpur,2011,132.01554679640122,99.35553411439177,112.82410341839628,113.78060075405828,130.81886428680457,100.55221662398844,120.22766822360322,105.43664855316085
Uttar Pradesh,Sultanpur,2012,179.31296458723133,146.73189308393015,159.43746635668532,161.12084864273334,177.37275082228507,148.6721068488764,167.9595380927919,153.84576337907586
Uttar Pradesh,Sultanpur,2013,220.5260935584624,189.63300557044977,199.3018037918377,203.15363430691662,218.40692139068568,191.75217773822646,213.63540857710973,194.93960102802671
Uttar Pradesh,Sultanpur,2014,239.21095891746225,206.89838326745277,217.77630945541475,221.2606858419435,236.48067050549113,209.62867167942383,229.82154507038877,212.51287949549786
Uttar Pradesh,Sultanpur,2015,218.31073452355264,192.32956858544642,199.50031954348154,203.38020755082687,218.236555280271,192.40374782872806,215.24478233224414,195.39552077675495
Uttar Pradesh,Sultanpur,2016,203.59463149545937,161.81406685838385,180.53661748864076,181.43520015017984,201.12077098632756,164.28792736751564,188.267499347711,173.06974377773872
Uttar Pradesh,Sultanpur,2017,200.27310225146968,161.56207528996447,177.5188217164549,179.64843974397527,198.13334856132212,163.70182898011203,187.7417924269949,170.9711991603474
Uttar Pradesh,Sultanpur,2018,,,,,,,,
Uttar Pradesh,Unnao,1965,,,,,,,,
Uttar Pradesh,Unnao,1966,43.04026987710844,19.40320618216781,30.61556682150369,31.01968096025998,42.67617132861363,19.76730473066262,36.46351873407761,25.97995732519864
Uttar Pradesh,Unnao,1967,38.697550825002054,19.222245794309007,28.950632760929903,28.95680979341365,38.258385083930015,19.661411535381045,35.00170382193723,22.918092797373824
Uttar Pradesh,Unnao,1968,43.06524900045179,21.380397818875743,31.523540872250084,31.98972923052587,42.58108875984834,21.864558059479194,38.69439268055546,25.751254138772083
Uttar Pradesh,Unnao,1969,44.68559586210668,25.14113161858781,33.90757953208011,34.57810233759153,44.14393817944663,25.68278930124786,42.57031301836812,27.256414462326358
Uttar Pradesh,Unnao,1970,43.60571955730343,22.891550428283054,31.687834249351916,32.7283680783128,42.97455766204907,23.522712323537405,41.109121932963134,25.388148052623343
Uttar Pradesh,Unnao,1971,45.128634988585716,26.03982729198254,34.38138588909834,35.183282723222206,44.716873106586746,26.45158917398152,43.680169218893894,27.48829306167438
Uttar Pradesh,Unnao,1972,52.44497748083109,29.23912590379043,38.85943583262742,40.18117973908298,51.754619565789746,29.929483818831777,48.76529829651045,32.918805088111064
Uttar Pradesh,Unnao,1973,47.76173125307051,26.723057927712148,35.314201197877225,36.59966345955329,47.51950249919791,26.965286681584747,46.862160181575945,27.62262899920671
Uttar Pradesh,Unnao,1974,52.99901266177106,32.75306560476681,41.06113890451724,42.271072390351705,52.7996390323775,32.95243923416037,51.98950090508346,33.762577361454404
Uttar Pradesh,Unnao,1975,46.39483012095432,24.806014847107853,33.16707014825966,34.78930503877394,45.999732221465734,25.201112746596433,43.612164840476424,27.58868012758575
Uttar Pradesh,Unnao,1976,53.643107573925235,29.123386414409886,38.58205869588903,40.44951756140805,53.39095626546602,29.3755377228691,50.11799582533079,32.648498163004334
Uttar Pradesh,Unnao,1977,62.654755458430444,38.5920138772349,47.408977756599484,49.55191569742161,62.38336020164341,38.86340913402193,60.43158842432208,40.81518091134326
Uttar Pradesh,Unnao,1978,68.01984953790671,44.60124549705512,52.85834650767526,55.159813847545685,67.80972815196148,44.811366883000346,66.68537137790734,45.93572365705448
Uttar Pradesh,Unnao,1979,82.57655840319087,53.436740801206156,64.21425854756245,66.74251925065316,82.4987696430085,53.51452956138853,77.48455472842987,58.52874447596716
